db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600261_24,你拿走了陶壶里所有的硬币。,You reach in and take all the coins.,Bạn lấy hết tất cả đồng xu trong bình gốm.
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600261_25,不知是不是你的错觉，在你离开时，那旧陶壶显得愈发残破了。,"When you step away, the pot crumbles a bit more. Is it your imagination?","Không biết có phải ảo giác hay không, nhưng khi bạn rời đi, chiếc bình gốm cũ trông càng thêm tàn tạ."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_01,不知何时，你来到了一处断壁旁。,"Suddenly, you find yourself standing next to a crumbled wall.","Không biết từ lúc nào, bạn đã đến bên một bức tường đổ nát."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_02,依靠着岩壁的残垣上攀满了不知名的藤蔓植物，而其下的石台上则点缀着些许苔藓。,"Unfamiliar vines drape in the ruins of the rock wall. Beneath lies a stone platform, dotted with patches of moss.","Trên tàn tích tựa vào vách đá, những dây leo lạ mặt bám kín khắp nơi, còn bệ đá phía dưới thì lấm tấm rêu xanh."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_03,而在石台的中心，你看到了几个旧陶壶，它们的表面覆满了灰尘，瓶口上也有不少缺口。,"At its center sits a cluster of old clay pots coated in dusts. Their mouths are chipped, edges uneven.","Ở giữa bệ đá, bạn nhìn thấy mấy chiếc bình gốm cũ, bề mặt phủ đầy bụi, miệng bình cũng sứt mẻ không ít."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_04,你感觉这里有些熟悉。,Something about this place feels familiar.,Bạn cảm thấy nơi này có gì đó quen thuộc.
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_05,你慢慢将头凑到了陶壶上方，看见瓶中竟有半壶水。,"You lean closer, your head above its mouth. Inside, you find half a pot of water.","Bạn từ từ ghé đầu lên trên miệng bình gốm, thấy bên trong còn nửa bình nước."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_06,从那水中，你看见了模糊而又熟悉的身影。,The refection a vague yet familiar slowly emerge on the water's surface.,"Từ mặt nước đó, bạn nhìn thấy một bóng hình mờ ảo nhưng rất quen thuộc."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_07,「投入硬币」你能帮我找个人吗？,[Try Your Luck] Can you help me find someone?,"""Thả đồng xu"" Bạn có thể giúp tôi tìm một người không?"
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_08,「终极答案」拿走壶里的钱。,[The Final Word] Take the money in the pot.,"""Đáp án tối thượng"" Lấy tiền trong bình."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_09,“之前，你拿走了不属于你的东西”——你仿佛又听见了旧陶壶在对你说话。,"""You took away something that doesn't belong to you earlier."" One of them seems to whisper.","""Trước đó, ngươi đã lấy đi thứ không thuộc về mình"" - bạn như nghe thấy chiếc bình gốm cũ đang nói với mình."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_10,在你投入硬币前，那陶壶中的影子便浮现了出来——但那并不是你的朋友，而是强大的敌人。,"Before you can drop some coins, the reflection ripples and stirs into a full form and climbs out. It's clearly not a friend, but a formidable foe.","Trước khi bạn kịp thả đồng xu, cái bóng trong bình gốm đã hiện ra - nhưng đó không phải bạn bè, mà là kẻ thù mạnh mẽ."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_11,你明白，只有赢下战斗才有可能找到伙伴了。,"Oh, you must fight. You realize. And that you must be the winner to find your companion.",Bạn hiểu rằng chỉ có chiến thắng mới có thể tìm được đồng đội.
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_12,你将手伸入瓶中，却一无所获。,You reach in but find nothing.,"Bạn thò tay vào trong bình, nhưng chẳng tìm được gì."
lang_multi_text.db,MultiText,RogueRes_EventPlot_Des_600271_13,看来壶里的硬币上次便被你拿完了。,Seems like you had taken all the coins last time.,Có vẻ như đồng xu trong bình đã bị bạn lấy hết từ lần trước rồi.
